Wavelength (Angstroms), Normalized intensity, Element
8049.7, 9362, 
8050.7, 9799, 
8051.7, 9869, 
8052.7, 9871, 
8053.7, 9833, 
8054.7, 9709, 
8055.7, 9826, 
8056.7, 9861, 
8057.7, 9883, 
8058.7, 9665, 
8059.7, 9844, 
8060.7, 9718, 
8061.7, 9876, 
8062.7, 9760, 
8063.7, 9870, 
8064.7, 9849, 
8065.7, 9879, 
8066.7, 9872, 
8067.7, 9799, 
8068.7, 9859, 
8069.7, 9470, 
8070.7, 9064, 
8071.7, 9841, 
8072.7, 9855, 
8073.7, 9864, 
8074.7, 9855, 
8075.7, 9777, 
8076.7, 9878, 
8077.7, 9715, 
8078.7, 9844, 
8079.7, 9893, 
8080.7, 8615, 
8081.7, 9770, 
8082.7, 9850, 
8083.7, 9769, 
8084.7, 9735, 
8085.7, 9773, 
8086.7, 9869, 
8087.7, 9874, 
8088.7, 9855, 
8089.7, 9761, 
8090.7, 9889, 
8091.7, 9881, 
8092.7, 8374, 
8093.7, 9801, 
8094.7, 9868, 
8095.7, 9886, 
8096.7, 9734, 
8097.7, 9768, 
8098.7, 7299, 
8099.7, 9743, 
